Country Name,Year,Employment Sector: Agriculture,Employment Sector: Industry,Employment Sector: Services,Unemployment Rate,GDP,Population,Continent
Mongolia,1992,44.67720616,16.84888301,38.47377995,5.843,1317611864,2167790,Asia
Morocco,1992,42.94761046,24.13539437,32.91700992,13.8,33711069431,25212468,Africa
Mozambique,1992,85.06357147,2.325932988,12.61049554,3.033,2798696511,13613316,Africa
Myanmar,1992,69.05382392,8.997903029,21.94827809,0.8,2411552289,40950342,Asia
Namibia,1992,47.33080494,14.75783656,37.9113585,18.932,3429521699,1461322,Africa
Nepal,1992,77.22795351,8.7798403,13.99220619,10.493,3401211581,20609707,Asia
Netherlands,1992,4.185861427,24.53723875,71.27689983,5.555,3.63E+11,15184166,Europe
New Caledonia,1992,7.925841126,24.22206033,67.8506118,18.616,2923883281,186072,Oceania
New Zealand,1992,10.83941046,23.19896906,65.9616855,10.667,41649829860,3531700,Oceania
Nicaragua,1992,34.95498692,18.2994546,46.74555848,7.838,1792800000,4357026,North America
Niger,1992,79.03105964,8.620339844,12.34860052,1.566,3386232579,8817633,Africa
Nigeria,1992,52.11956439,11.41835463,36.4620779,3.81,52058181854,102372770,Africa
North Macedonia,1992,26.70242814,36.27748372,37.02008814,26.3,2436849342,2032523,Europe
Norway,1992,5.513988683,23.47409339,71.0119674,5.91,1.31E+11,4286401,Europe
Oman,1992,9.700121141,7.508832525,82.79104633,4.158,14183615085,1938238,Asia
Pakistan,1992,46.84486223,21.14194012,32.01320062,0.596,48884671947,123546848,Asia
Panama,1992,24.98464864,16.98173106,58.03362029,6.303,8042337700,2561336,North America
Papua New Guinea,1992,37.1450065,3.277954615,59.57703888,2.618,4377980510,4166699,Oceania
Paraguay,1992,29.61347495,18.4337872,51.95279844,4.98,7157424031,4253600,South America
Peru,1992,42.11955031,15.95539067,41.92507167,5.071,35966302303,22946340,South America
Philippines,1992,45.4865013,15.96986901,38.54362969,3.844,60422328242,65926125,Asia
Poland,1992,24.89866793,32.6110812,42.49025088,13.645,94337050693,38363667,Europe
Portugal,1992,11.67161817,33.36515252,54.96320762,3.985,1.08E+11,9952494,Europe
Qatar,1992,4.293783701,31.43088134,64.27569112,0.87,7646153984,469657,Asia
Romania,1992,38.97801961,33.73780305,27.28417734,8.26,25121666667,22794284,Europe
Russian Federation,1992,12.12448853,32.89450751,54.98101229,5.181,4.60E+11,148538197,Asia
Rwanda,1992,89.62999836,2.346255159,8.023746477,12.12,2029026962,7683266,Africa
Samoa,1992,46.33298952,10.66898286,42.99802761,2.44,132303041.4,170331,Oceania
Sao Tome and Principe,1992,40.19653002,14.27913404,45.52433594,14.662,94861780.62,128110,Africa
